2024-09-18 05:13:00 [main] INFO  HiveConf:187 - Found configuration file file:/home/hive/apache-hive-3.1.3-bin/conf/hive-site.xml
2024-09-18 05:13:01 [main] INFO  SparkContext:60 - Running Spark version 3.5.2
2024-09-18 05:13:01 [main] INFO  SparkContext:60 - OS info Linux, 5.15.49-linuxkit, aarch64
2024-09-18 05:13:01 [main] INFO  SparkContext:60 - Java version 1.8.0_362
2024-09-18 05:13:01 [main] WARN  NativeCodeLoader:60 - Unable to load native-hadoop library for your platform... using builtin-java classes where applicable
2024-09-18 05:13:01 [main] INFO  ResourceUtils:60 - ==============================================================
2024-09-18 05:13:01 [main] INFO  ResourceUtils:60 - No custom resources configured for spark.driver.
2024-09-18 05:13:01 [main] INFO  ResourceUtils:60 - ==============================================================
2024-09-18 05:13:01 [main] INFO  SparkContext:60 - Submitted application: CSV to Hive
2024-09-18 05:13:01 [main] INFO  ResourceProfile:60 - Default ResourceProfile created, executor resources: Map(cores -> name: cores, amount: 1, script: , vendor: , memory -> name: memory, amount: 1024, script: , vendor: , offHeap -> name: offHeap, amount: 0, script: , vendor: ), task resources: Map(cpus -> name: cpus, amount: 1.0)
2024-09-18 05:13:01 [main] INFO  ResourceProfile:60 - Limiting resource is cpu
2024-09-18 05:13:01 [main] INFO  ResourceProfileManager:60 - Added ResourceProfile id: 0
2024-09-18 05:13:01 [main] INFO  SecurityManager:60 - Changing view acls to: root
2024-09-18 05:13:01 [main] INFO  SecurityManager:60 - Changing modify acls to: root
2024-09-18 05:13:01 [main] INFO  SecurityManager:60 - Changing view acls groups to: 
2024-09-18 05:13:01 [main] INFO  SecurityManager:60 - Changing modify acls groups to: 
2024-09-18 05:13:01 [main] INFO  SecurityManager:60 - SecurityManager: authentication disabled; ui acls disabled; users with view permissions: root; groups with view permissions: EMPTY; users with modify permissions: root; groups with modify permissions: EMPTY
2024-09-18 05:13:01 [main] INFO  Utils:60 - Successfully started service 'sparkDriver' on port 42841.
2024-09-18 05:13:01 [main] INFO  SparkEnv:60 - Registering MapOutputTracker
2024-09-18 05:13:01 [main] INFO  SparkEnv:60 - Registering BlockManagerMaster
2024-09-18 05:13:01 [main] INFO  BlockManagerMasterEndpoint:60 - Using org.apache.spark.storage.DefaultTopologyMapper for getting topology information
2024-09-18 05:13:01 [main] INFO  BlockManagerMasterEndpoint:60 - BlockManagerMasterEndpoint up
2024-09-18 05:13:01 [main] INFO  SparkEnv:60 - Registering BlockManagerMasterHeartbeat
2024-09-18 05:13:01 [main] INFO  DiskBlockManager:60 - Created local directory at /tmp/blockmgr-3d025210-2c9d-4b56-9bc6-00412bff64bf
2024-09-18 05:13:01 [main] INFO  MemoryStore:60 - MemoryStore started with capacity 1147.2 MiB
2024-09-18 05:13:01 [main] INFO  SparkEnv:60 - Registering OutputCommitCoordinator
2024-09-18 05:13:01 [main] INFO  log:170 - Logging initialized @1509ms to org.sparkproject.jetty.util.log.Slf4jLog
2024-09-18 05:13:01 [main] INFO  JettyUtils:60 - Start Jetty 0.0.0.0:4040 for SparkUI
2024-09-18 05:13:01 [main] INFO  Server:375 - jetty-9.4.54.v20240208; built: 2024-02-08T19:42:39.027Z; git: cef3fbd6d736a21e7d541a5db490381d95a2047d; jvm 1.8.0_362-8u372-ga~us1-0ubuntu1~22.04-b09
2024-09-18 05:13:01 [main] INFO  Server:415 - Started @1596ms
2024-09-18 05:13:01 [main] INFO  AbstractConnector:333 - Started ServerConnector@51827393{HTTP/1.1, (http/1.1)}{0.0.0.0:4040}
2024-09-18 05:13:01 [main] INFO  Utils:60 - Successfully started service 'SparkUI' on port 4040.
2024-09-18 05:13:01 [main] INFO  ContextHandler:921 - Started o.s.j.s.ServletContextHandler@213860b8{/,null,AVAILABLE,@Spark}
2024-09-18 05:13:01 [main] INFO  Executor:60 - Starting executor ID driver on host nn
2024-09-18 05:13:01 [main] INFO  Executor:60 - OS info Linux, 5.15.49-linuxkit, aarch64
2024-09-18 05:13:01 [main] INFO  Executor:60 - Java version 1.8.0_362
2024-09-18 05:13:01 [main] INFO  Executor:60 - Starting executor with user classpath (userClassPathFirst = false): ''
2024-09-18 05:13:01 [main] INFO  Executor:60 - Created or updated repl class loader org.apache.spark.util.MutableURLClassLoader@655523dd for default.
2024-09-18 05:13:01 [main] INFO  Utils:60 - Successfully started service 'org.apache.spark.network.netty.NettyBlockTransferService' on port 39831.
2024-09-18 05:13:01 [main] INFO  NettyBlockTransferService:84 - Server created on nn:39831
2024-09-18 05:13:01 [main] INFO  BlockManager:60 - Using org.apache.spark.storage.RandomBlockReplicationPolicy for block replication policy
2024-09-18 05:13:01 [main] INFO  BlockManagerMaster:60 - Registering BlockManager BlockManagerId(driver, nn, 39831, None)
2024-09-18 05:13:01 [dispatcher-BlockManagerMaster] INFO  BlockManagerMasterEndpoint:60 - Registering block manager nn:39831 with 1147.2 MiB RAM, BlockManagerId(driver, nn, 39831, None)
2024-09-18 05:13:01 [main] INFO  BlockManagerMaster:60 - Registered BlockManager BlockManagerId(driver, nn, 39831, None)
2024-09-18 05:13:01 [main] INFO  BlockManager:60 - Initialized BlockManager: BlockManagerId(driver, nn, 39831, None)
2024-09-18 05:13:02 [main] INFO  ContextHandler:1159 - Stopped o.s.j.s.ServletContextHandler@213860b8{/,null,STOPPED,@Spark}
2024-09-18 05:13:02 [main] INFO  ContextHandler:921 - Started o.s.j.s.ServletContextHandler@4e17913b{/jobs,null,AVAILABLE,@Spark}
2024-09-18 05:13:02 [main] INFO  ContextHandler:921 - Started o.s.j.s.ServletContextHandler@64f16277{/jobs/json,null,AVAILABLE,@Spark}
2024-09-18 05:13:02 [main] INFO  ContextHandler:921 - Started o.s.j.s.ServletContextHandler@4e6f2bb5{/jobs/job,null,AVAILABLE,@Spark}
2024-09-18 05:13:02 [main] INFO  ContextHandler:921 - Started o.s.j.s.ServletContextHandler@3f628ce9{/jobs/job/json,null,AVAILABLE,@Spark}
2024-09-18 05:13:02 [main] INFO  ContextHandler:921 - Started o.s.j.s.ServletContextHandler@26d96e5{/stages,null,AVAILABLE,@Spark}
2024-09-18 05:13:02 [main] INFO  ContextHandler:921 - Started o.s.j.s.ServletContextHandler@1846579f{/stages/json,null,AVAILABLE,@Spark}
2024-09-18 05:13:02 [main] INFO  ContextHandler:921 - Started o.s.j.s.ServletContextHandler@5fac521d{/stages/stage,null,AVAILABLE,@Spark}
2024-09-18 05:13:02 [main] INFO  ContextHandler:921 - Started o.s.j.s.ServletContextHandler@129bd55d{/stages/stage/json,null,AVAILABLE,@Spark}
2024-09-18 05:13:02 [main] INFO  ContextHandler:921 - Started o.s.j.s.ServletContextHandler@3abfe845{/stages/pool,null,AVAILABLE,@Spark}
2024-09-18 05:13:02 [main] INFO  ContextHandler:921 - Started o.s.j.s.ServletContextHandler@3672276e{/stages/pool/json,null,AVAILABLE,@Spark}
2024-09-18 05:13:02 [main] INFO  ContextHandler:921 - Started o.s.j.s.ServletContextHandler@7f08caf{/storage,null,AVAILABLE,@Spark}
2024-09-18 05:13:02 [main] INFO  ContextHandler:921 - Started o.s.j.s.ServletContextHandler@2330e3e0{/storage/json,null,AVAILABLE,@Spark}
2024-09-18 05:13:02 [main] INFO  ContextHandler:921 - Started o.s.j.s.ServletContextHandler@27a2a089{/storage/rdd,null,AVAILABLE,@Spark}
